SHEHIA,MdnTrCv,PrcBldC,Bushbaby,Vervet.Monkey,Bats,Hyrax,Rats.Mice,Small.Cats,Large.Cats,Shrews,Elephant.Shrews,Blue.Monkey,Red.Colobus,Pouched.Rat,Mongoose.B.T,Mongoose.Slender,Mongoose.Banded,Genet,African.Civet,Bushpig,Duiker.Aders,Duiker.Blue,Duiker.Suni,Zanj.Sun.Squirrel,Red.Bush.Squirrel,hunt_diversity
Amani,0,2947.326705,,,,,,,,,,,,,,,,,,,,,,,,
Bambi,50,46.725751,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Bambi,50,46.725751,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Bandakuu,70,1464.452137,0,0,0,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,3,3,0,0,0,5
Bandamaji,60,96.02630818,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
Banko,0,3845.525296,,,,,,,,,,,,,,,,,,,,,,,,
Binguni,40,120.725226,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
Binguni,40,120.725226,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
Bububu,60,2373.589391,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
Bumbwisudi,0,79.07744588,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Bungi,40,105.5489345,0,0,0,1,2,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,5
Bungi,40,105.5489345,0,0,0,1,2,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,5
Bwejuu,50,74.38036627,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,3,3,3,3,0,0,7
Bwejuu,50,74.38036627,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,3,3,3,3,0,0,7
Bwejuu,50,74.38036627,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,3,3,3,3,0,0,7
Bweleo,70,127.3768379,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,3,3,0,0,0,4
Bwereu,0,129.0520516,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,2,2,0,0,0,0,0,4
ChaaniKubwa,30,162.3033103,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,0,0,5
ChaaniMasingini,50,169.9207019,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,0,0,5
Charawe,90,9.844038323,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,2,2,3,2,0,0,7
Charawe,90,9.844038323,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,2,2,3,2,0,0,7
ChejuHanyegwamchana,0,15.90037558,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,2,2,0,0,0,5
ChejuHanyegwamchana,0,15.90037558,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,1,0,2,2,0,0,0,5
ChejuZawiyani,70,7.612152585,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
ChejuZawiyani,70,7.612152585,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Chemchem,60,1590.209791,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
Chuini,80,1017.476737,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
Chukwani,50,924.6594493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chumbuni,0,4778.155808,,,,,,,,,,,,,,,,,,,,,,,,
Chunga,60,1194.221681,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Chutama,0,96.94903373,0,0,0,0,0,3,0,3,0,0,0,3,2,2,0,3,0,0,3,3,3,0,3,10
Chwaka,50,160.3835269,0,0,0,3,3,3,0,0,0,0,0,3,0,0,0,3,3,3,0,2,0,0,0,8
Chwaka,50,160.3835269,0,0,0,3,3,3,0,0,0,0,0,3,0,0,0,3,3,3,0,2,0,0,0,8
Dimani,60,148.3347841,0,0,0,0,2,0,0,0,2,0,0,3,0,0,0,0,0,0,3,3,0,0,0,5
Dole,60,248.8580638,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
DongeKarange,60,32.43503817,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
Dongembiji,40,140.2399547,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
DongeMtambile,70,564.7190375,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
DongeVijibweni,80,323.1485702,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
