SHEHIA,MdnTrCv,PrcBldC,Bushbaby,Vervet.Monkey,Bats,Hyrax,Rats.Mice,Small.Cats,Large.Cats,Shrews,Elephant.Shrews,Blue.Monkey,Red.Colobus,Pouched.Rat,Mongoose.B.T,Mongoose.Slender,Mongoose.Banded,Genet,African.Civet,Bushpig,Duiker.Aders,Duiker.Blue,Duiker.Suni,Zanj.Sun.Squirrel,Red.Bush.Squirrel,biodiversity
Amani,0,29.47326705,,,,,,,,,,,,,,,,,,,,,,,,
Bambi,50,0.46725751,3,0,3,0,3,0,0,2,3,0,0,3,2,2,2,0,1,0,0,0,0,3,2,12
Bambi,50,0.46725751,3,0,3,0,3,0,0,2,3,0,0,3,2,2,2,0,1,0,0,0,0,3,2,12
Bandakuu,70,14.64452137,3,0,3,0,3,0,0,2,2,0,0,3,1,1,1,0,2,0,1,1,0,2,1,14
Bandamaji,60,0.960263082,3,0,3,0,3,0,0,2,0,0,0,3,2,2,2,0,1,0,0,0,0,3,2,11
Banko,0,38.45525296,,,,,,,,,,,,,,,,,,,,,,,,
Binguni,40,1.20725226,3,1,3,0,3,0,0,2,1,0,0,3,2,2,2,0,1,0,0,0,0,3,2,13
Binguni,40,1.20725226,3,1,3,0,3,0,0,2,1,0,0,3,2,2,2,0,1,0,0,0,0,3,2,13
Bububu,60,23.73589391,2,0,2,0,3,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,6
Bumbwisudi,0,0.790774459,3,0,3,0,3,0,0,2,0,0,0,3,1,1,1,0,1,0,0,0,0,3,1,11
Bungi,40,1.055489345,3,0,3,2,3,1,0,3,3,0,2,3,2,2,2,1,0,0,0,0,0,3,3,15
Bungi,40,1.055489345,3,0,3,2,3,1,0,3,3,0,2,3,2,2,2,1,0,0,0,0,0,3,3,15
Bwejuu,50,0.743803663,1,0,2,1,3,1,0,3,3,0,1,3,2,2,2,1,2,2,1,2,3,3,3,20
Bwejuu,50,0.743803663,1,0,2,1,3,1,0,3,3,0,1,3,2,2,2,1,2,2,1,2,3,3,3,20
Bwejuu,50,0.743803663,1,0,2,1,3,1,0,3,3,0,1,3,2,2,2,1,2,2,1,2,3,3,3,20
Bweleo,70,1.273768379,2,2,3,0,3,2,0,3,3,0,0,3,3,3,3,2,2,1,2,2,0,3,3,18
Bwereu,0,1.290520516,1,0,2,0,3,2,1,1,3,1,0,0,3,2,2,0,1,1,0,0,0,2,0,14
ChaaniKubwa,30,1.623033103,3,0,3,0,3,0,0,2,0,0,0,3,0,2,0,0,1,0,2,2,2,3,2,12
ChaaniMasingini,50,1.699207019,3,0,3,0,3,0,0,2,0,0,0,3,0,2,0,0,1,0,2,2,2,3,2,12
Charawe,90,0.098440383,2,0,2,2,3,2,0,3,3,0,3,3,3,3,3,2,2,2,1,3,1,3,2,20
Charawe,90,0.098440383,2,0,2,2,3,2,0,3,3,0,3,3,3,3,3,2,2,2,1,3,1,3,2,20
ChejuHanyegwamchana,0,0.159003756,3,0,3,0,3,0,0,1,2,0,1,2,2,2,2,0,1,0,3,3,0,2,2,15
ChejuHanyegwamchana,0,0.159003756,3,0,3,0,3,0,0,1,2,0,1,2,2,2,2,0,1,0,3,3,0,2,2,15
ChejuZawiyani,70,0.076121526,2,0,3,0,3,0,0,0,0,0,0,3,2,2,2,0,1,0,0,0,0,3,0,9
ChejuZawiyani,70,0.076121526,2,0,3,0,3,0,0,0,0,0,0,3,2,2,2,0,1,0,0,0,0,3,0,9
Chemchem,60,15.90209791,2,0,0,0,3,0,0,1,0,0,0,2,1,1,1,0,0,0,0,0,0,3,1,9
Chuini,80,10.17476737,3,0,3,0,3,0,0,2,3,0,3,2,0,0,0,0,2,0,0,0,0,3,0,9
Chukwani,50,9.246594493,0,0,2,0,2,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,2,2,8
Chumbuni,0,47.78155808,,,,,,,,,,,,,,,,,,,,,,,,
Chunga,60,11.94221681,3,0,3,0,3,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,7
Chutama,0,0.969490337,3,0,3,0,3,2,0,2,0,0,0,3,2,2,0,2,2,0,2,2,2,2,2,15
Chwaka,50,1.603835269,3,0,3,3,3,1,0,3,3,2,2,3,2,2,2,1,1,2,1,2,0,3,3,20
Chwaka,50,1.603835269,3,0,3,3,3,1,0,3,3,2,2,3,2,2,2,1,1,2,1,2,0,3,3,20
Dimani,60,1.483347841,3,0,3,0,3,0,0,0,3,0,0,3,2,2,2,0,0,0,2,2,0,3,3,12
Dole,60,2.488580638,3,0,3,0,3,0,0,1,0,0,0,3,2,2,2,0,0,0,0,0,0,3,1,10
DongeKarange,60,0.324350382,3,0,2,0,3,0,0,2,0,0,0,3,2,2,2,0,1,0,0,0,0,3,2,11
Dongembiji,40,1.402399547,3,0,2,0,3,0,0,3,0,0,0,3,3,3,3,0,0,0,0,0,0,3,3,10
DongeMtambile,70,5.647190375,3,0,2,0,3,0,0,3,0,0,0,3,3,3,0,0,0,0,0,0,0,3,3,9
DongeVijibweni,80,3.231485702,3,0,3,0,3,0,0,1,1,0,0,3,2,2,2,0,1,0,0,0,0,3,1,12
DongePwani,60,2.753896358,3,0,3,0,3,0,0,1,1,0,0,3,2,2,2,0,1,0,0,0,0,3,1,12
Dongwe,70,0.735146165,0,0,3,0,3,0,1,0,2,0,1,3,3,3,3,1,1,2,2,2,2,2,0,16
Dongwe,70,0.735146165,0,0,3,0,3,0,1,0,2,0,1,3,3,3,3,1,1,2,2,2,2,2,0,16
Dongwe,70,0.735146165,0,0,3,0,3,0,1,0,2,0,1,3,3,3,3,1,1,2,2,2,2,2,0,16
Dungabweni,50,1.318235539,3,0,2,0,3,0,0,3,0,0,0,3,2,2,2,0,0,0,0,0,0,3,3,10
Dungabweni,50,1.318235539,3,0,2,0,3,0,0,3,0,0,0,3,2,2,2,0,0,0,0,0,0,3,3,10
DungaKiembeni,40,0.995219433,3,0,2,0,3,0,0,3,0,0,0,3,3,3,3,0,0,0,0,0,0,3,3,10
DungaKiembeni,40,0.995219433,3,0,2,0,3,0,0,3,0,0,0,3,3,3,3,0,0,0,0,0,0,3,3,10
Fujoni,70,1.54097334,2,0,2,0,3,0,0,3,2,0,0,3,2,2,2,0,0,0,1,0,0,2,2,12
Fukuchani,20,1.681177662,3,0,3,0,3,0,0,2,2,3,0,3,3,2,0,0,0,1,0,0,0,3,1,12
Fumba,70,2.547686404,3,0,2,0,3,0,0,3,3,0,0,3,3,3,3,0,0,0,1,2,0,3,3,13
Gamba,0,2.329821922,3,0,3,0,3,2,0,2,0,0,0,3,2,2,0,2,2,0,2,2,2,2,2,15
Ghana,70,0.760435929,3,0,3,0,3,0,0,2,1,0,0,3,1,1,1,0,1,0,0,0,0,3,2,12
Ghana,70,0.760435929,3,0,3,0,3,0,0,2,1,0,0,3,1,1,1,0,1,0,0,0,0,3,2,12
Gomani,80,1.457234616,3,0,1,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,7
Gulioni,0,46.10274516,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,70,5.218999043,3,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,5
JambianiKibigija,80,0.610901416,2,1,2,0,3,2,0,0,1,0,1,3,2,2,2,0,0,0,2,2,0,3,3,15
JambianiKibigija,80,0.610901416,2,1,2,0,3,2,0,0,1,0,1,3,2,2,2,0,0,0,2,2,0,3,3,15
JambianiKibigija,80,0.610901416,2,1,2,0,3,2,0,0,1,0,1,3,2,2,2,0,0,0,2,2,0,3,3,15
JambianiKikadini,50,0.30361544,3,0,3,3,3,0,0,3,3,0,2,3,2,1,1,1,2,2,1,0,1,3,1,18
JambianiKikadini,50,0.30361544,3,0,3,3,3,0,0,3,3,0,2,3,2,1,1,1,2,2,1,0,1,3,1,18
JambianiKikadini,50,0.30361544,3,0,3,3,3,0,0,3,3,0,2,3,2,1,1,1,2,2,1,0,1,3,1,18
Jang'ombe,0,53.47123378,,,,,,,,,,,,,,,,,,,,,,,,
Jendele,40,0.927553195,3,0,3,0,3,0,0,1,2,0,1,2,2,2,2,0,1,0,3,3,0,2,2,15
Jendele,40,0.927553195,3,0,3,0,3,0,0,1,2,0,1,2,2,2,2,0,1,0,3,3,0,2,2,15
Jongowe,0,1.664707088,3,0,1,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,7
Jugakuu,0,0.940141255,2,0,3,0,3,0,0,3,0,0,0,2,2,2,2,0,0,0,2,2,0,3,3,12
Jumbi,0,4.157803884,2,0,2,0,3,0,0,3,0,0,0,3,1,1,1,0,0,0,0,0,0,3,3,10
Jumbi,0,4.157803884,2,0,2,0,3,0,0,3,0,0,0,3,1,1,1,0,0,0,0,0,0,3,3,10
Kajengwa,40,0.264853386,3,0,3,1,3,1,0,3,3,0,0,3,3,3,2,1,1,1,1,1,1,3,3,19
Kajengwa,40,0.264853386,3,0,3,1,3,1,0,3,3,0,0,3,3,3,2,1,1,1,1,1,1,3,3,19
Kajengwa,40,0.264853386,3,0,3,1,3,1,0,3,3,0,0,3,3,3,2,1,1,1,1,1,1,3,3,19
Kama,60,5.036025874,3,0,2,0,3,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,2,2,9
Kandwi,0,0.389326217,3,0,3,0,3,2,0,3,0,0,0,3,3,3,3,2,3,0,0,1,0,3,3,14
Karakana,0,17.71629743,,,,,,,,,,,,,,,,,,,,,,,,
Kianga,40,8.053202768,3,3,3,0,3,1,0,3,3,0,0,3,2,2,0,1,0,0,2,2,2,3,3,16
Kibeni,0,3.681559452,3,0,3,0,3,0,0,2,1,0,0,3,2,2,2,0,2,0,0,0,0,3,3,12
KibojeMkwajuni,80,0.664601409,3,0,3,0,3,0,0,2,0,0,0,3,2,2,2,0,2,0,0,0,0,3,2,11
KibojeMwembeshauri,60,0.426909053,3,0,3,0,3,0,0,2,0,0,0,3,2,2,2,0,2,0,0,0,0,3,2,11
Kiboje,80,0.664601409,3,0,3,0,3,0,0,2,0,0,0,3,2,2,2,0,2,0,0,0,0,3,2,11
Kiboje,60,0.426909053,3,0,3,0,3,0,0,2,0,0,0,3,2,2,2,0,2,0,0,0,0,3,2,11
Kibondeni,60,2.501613833,3,1,3,2,3,2,0,3,3,0,1,3,3,3,3,2,2,0,0,2,0,3,3,18
Kibuteni,50,0.103997454,3,0,3,2,3,0,0,3,3,0,3,3,2,1,1,1,1,2,0,1,1,3,3,18
Kibuteni,50,0.103997454,3,0,3,2,3,0,0,3,3,0,3,3,2,1,1,1,1,2,0,1,1,3,3,18
Kibuteni,50,0.103997454,3,0,3,2,3,0,0,3,3,0,3,3,2,1,1,1,1,2,0,1,1,3,3,18
Kibweni,30,30.78710458,2,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3
Kidanzini,20,1.171631342,3,3,3,0,3,0,0,0,0,0,0,3,3,3,3,0,2,0,1,1,0,3,2,13
